,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST,REB,REB_CONTEST,REB_UNCONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
392,203493,Reggie Bullock,1610612756,PHX,36,19,17,338.0,1,1,0,1.0,12,0.083,0,0.083,5.7,49,10,41,0.204,81,0.605,8,0.671,7.3,50,11,41,0.22,93,0.538,8,0.588,7.3
393,2501,Reggie Evans,1610612758,SAC,47,16,31,764.0,97,71,25,0.732,255,0.38,11,0.398,5.4,202,69,130,0.342,332,0.608,22,0.652,4.5,299,140,155,0.468,587,0.509,33,0.54,4.8
394,202704,Reggie Jackson,1610612765,DET,77,37,40,2268.0,56,14,40,0.25,193,0.29,15,0.315,12.1,271,38,234,0.14,467,0.58,40,0.635,8.4,327,52,274,0.159,660,0.495,55,0.54,9.1
395,202130,Reggie Williams,1610612759,SAS,20,15,5,105.0,5,3,2,0.6,10,0.5,1,0.556,12.6,12,3,9,0.25,21,0.571,1,0.6,5.7,17,6,11,0.353,31,0.548,2,0.586,7.7
396,2210,Richard Jefferson,1610612742,DAL,74,46,28,1244.0,25,10,13,0.4,106,0.236,4,0.245,11.9,158,42,119,0.266,283,0.558,23,0.608,6.8,183,52,132,0.284,389,0.47,27,0.506,7.4
397,203495,Ricky Ledo,1610612752,NYK,17,4,13,244.0,16,9,8,0.563,45,0.356,2,0.372,8.6,20,2,19,0.1,34,0.588,1,0.606,6.0,36,11,27,0.306,79,0.456,3,0.474,7.1
398,201937,Ricky Rubio,1610612750,MIN,22,7,15,692.0,19,9,9,0.474,53,0.358,3,0.38,12.5,106,18,89,0.17,168,0.631,13,0.684,7.4,125,27,98,0.216,221,0.566,16,0.61,8.1
399,203133,Robbie Hummel,1610612750,MIN,44,5,39,733.0,31,18,12,0.581,95,0.326,3,0.337,7.6,103,34,70,0.33,189,0.545,17,0.599,5.3,134,52,82,0.388,284,0.472,20,0.508,5.8
400,203496,Robert Covington,1610612755,PHI,70,18,52,1956.0,65,42,23,0.646,216,0.301,10,0.316,8.1,251,81,168,0.323,472,0.532,42,0.584,6.1,316,123,191,0.389,688,0.459,52,0.497,6.5
401,203135,Robert Sacre,1610612747,LAL,67,19,48,1133.0,89,56,32,0.629,212,0.42,8,0.436,6.6,144,46,97,0.319,310,0.465,33,0.52,6.0,233,102,129,0.438,522,0.446,41,0.484,6.2
402,201577,Robin Lopez,1610612757,POR,59,38,21,1638.0,190,146,35,0.768,455,0.418,12,0.429,4.6,204,96,109,0.471,484,0.421,61,0.482,5.1,394,242,144,0.614,939,0.42,73,0.455,4.9
403,203918,Rodney Hood,1610612762,UTA,50,27,23,1064.0,9,1,8,0.111,56,0.161,4,0.173,15.8,108,21,86,0.194,213,0.507,13,0.54,6.6,117,22,94,0.188,269,0.435,17,0.464,7.3
404,201155,Rodney Stuckey,1610612754,IND,71,34,37,1874.0,36,14,22,0.389,147,0.245,4,0.252,15.0,212,28,180,0.132,339,0.625,25,0.675,8.2,248,42,202,0.169,486,0.51,29,0.543,9.2
405,101179,Ronnie Price,1610612747,LAL,43,13,30,982.0,19,3,14,0.158,65,0.292,3,0.306,16.4,50,11,40,0.22,128,0.391,9,0.42,11.4,69,14,54,0.203,193,0.358,12,0.381,12.6
406,101142,Ronny Turiaf,1610612750,MIN,1,0,1,10.0,0,0,0,0.0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,1,0.0,0,0.0,0.0
407,201579,Roy Hibbert,1610612754,IND,76,34,42,1926.0,156,106,44,0.679,360,0.433,4,0.438,5.5,384,125,255,0.326,686,0.56,64,0.617,4.8,540,231,299,0.428,1046,0.516,68,0.552,5.0
408,200752,Rudy Gay,1610612758,SAC,68,25,43,2408.0,98,59,35,0.602,297,0.33,8,0.339,8.0,301,74,223,0.246,500,0.602,28,0.638,6.8,399,133,258,0.333,797,0.501,36,0.524,7.1
409,203497,Rudy Gobert,1610612762,UTA,82,38,44,2158.0,265,193,63,0.728,531,0.499,10,0.509,5.4,510,200,307,0.392,865,0.59,77,0.647,3.8,775,393,370,0.507,1396,0.555,87,0.592,4.3
410,203893,Russ Smith,1610612763,MEM,12,7,5,65.0,1,0,1,0.0,4,0.25,0,0.25,13.9,5,2,3,0.4,9,0.556,0,0.556,7.3,6,2,4,0.333,13,0.462,0,0.462,8.4
411,201566,Russell Westbrook,1610612760,OKC,67,40,27,2302.0,124,60,57,0.484,394,0.315,11,0.324,10.0,364,86,282,0.236,530,0.687,22,0.717,8.4,488,146,339,0.299,924,0.528,33,0.548,8.8
412,201583,Ryan Anderson,1610612740,NOP,61,33,28,1675.0,108,82,24,0.759,247,0.437,10,0.456,5.5,187,93,91,0.497,335,0.558,31,0.615,5.6,295,175,115,0.593,582,0.507,41,0.545,5.5
413,200797,Ryan Hollins,1610612758,SAC,46,13,33,441.0,36,23,9,0.639,88,0.409,0,0.409,4.8,67,23,43,0.343,159,0.421,18,0.475,4.5,103,46,52,0.447,247,0.417,18,0.45,4.6
414,203527,Ryan Kelly,1610612747,LAL,52,11,41,1233.0,13,5,8,0.385,74,0.176,2,0.181,9.4,133,29,102,0.218,225,0.591,18,0.643,7.0,146,34,110,0.233,299,0.488,20,0.523,7.3
415,2223,Samuel Dalembert,1610612752,NYK,32,5,27,544.0,53,38,13,0.717,107,0.495,1,0.5,6.9,115,54,60,0.47,215,0.535,18,0.584,3.3,168,92,73,0.548,322,0.522,19,0.554,4.4
416,203930,Sean Kilpatrick,1610612750,MIN,4,2,2,72.0,1,1,0,1.0,3,0.333,0,0.333,1.4,5,1,4,0.2,13,0.385,0,0.385,6.4,6,2,4,0.333,16,0.375,0,0.375,5.6
417,2742,Sebastian Telfair,1610612760,OKC,16,4,12,327.0,2,1,1,0.5,15,0.133,0,0.133,4.3,28,0,28,0.0,38,0.737,0,0.737,12.1,30,1,29,0.033,53,0.566,0,0.566,11.6
418,201586,Serge Ibaka,1610612760,OKC,64,35,29,2116.0,135,82,48,0.607,316,0.427,16,0.45,6.5,364,138,224,0.379,717,0.508,70,0.563,4.0,499,220,272,0.441,1033,0.483,86,0.527,4.7
419,203508,Sergey Karasev,1610612751,BKN,33,12,21,555.0,22,7,16,0.318,59,0.373,0,0.373,10.1,44,7,37,0.159,91,0.484,12,0.557,6.7,66,14,53,0.212,150,0.44,12,0.478,8.1
420,203552,Seth Curry,1610612756,PHX,2,2,0,8.0,0,0,0,0.0,1,0.0,0,0.0,0.0,2,0,2,0.0,3,0.667,0,0.667,6.0,2,0,2,0.0,4,0.5,0,0.5,6.0
421,203498,Shabazz Muhammad,1610612750,MIN,37,6,31,851.0,62,42,14,0.677,170,0.365,5,0.376,6.4,91,33,59,0.363,145,0.628,10,0.674,5.9,153,75,73,0.49,315,0.486,15,0.51,6.1
422,203894,Shabazz Napier,1610612748,MIA,51,24,27,1012.0,17,8,9,0.471,76,0.224,2,0.23,12.2,96,11,86,0.115,195,0.492,24,0.561,9.8,113,19,95,0.168,271,0.417,26,0.461,10.1
423,203499,Shane Larkin,1610612752,NYK,75,16,59,1845.0,29,7,22,0.241,96,0.302,2,0.309,18.1,146,24,126,0.164,317,0.461,43,0.533,8.6,175,31,148,0.177,413,0.424,45,0.476,10.2
424,200769,Shannon Brown,1610612748,MIA,5,3,2,89.0,0,0,0,0.0,9,0.0,0,0.0,0.0,1,1,1,1.0,9,0.111,2,0.143,8.3,1,1,1,1.0,18,0.056,2,0.063,8.3
425,2733,Shaun Livingston,1610612744,GSW,78,64,14,1468.0,43,19,24,0.442,139,0.309,5,0.321,8.5,140,32,110,0.229,286,0.49,12,0.511,9.4,183,51,134,0.279,425,0.431,17,0.449,9.3
426,101183,Shavlik Randolph,1610612756,PHX,21,11,10,126.0,16,13,3,0.813,45,0.356,1,0.364,3.9,22,11,10,0.5,48,0.458,8,0.55,3.7,38,24,13,0.632,93,0.409,9,0.452,3.8
427,1890,Shawn Marion,1610612739,CLE,56,36,20,1082.0,61,38,19,0.623,158,0.386,7,0.404,6.7,136,34,101,0.25,226,0.602,14,0.642,6.3,197,72,120,0.365,384,0.513,21,0.543,6.4
428,200761,Shawne Williams,1610612765,DET,62,25,37,1060.0,34,13,19,0.382,90,0.378,5,0.4,9.9,127,41,81,0.323,265,0.479,19,0.516,5.4,161,54,100,0.335,355,0.454,24,0.486,6.3
429,203963,Shayne Whittington,1610612754,IND,20,9,11,108.0,10,7,3,0.7,25,0.4,0,0.4,5.8,19,5,14,0.263,35,0.543,2,0.576,3.7,29,12,17,0.414,60,0.483,2,0.5,4.4
430,202714,Shelvin Mack,1610612737,ATL,55,37,18,833.0,8,2,6,0.25,62,0.129,2,0.133,12.3,71,11,60,0.155,141,0.504,5,0.522,8.5,79,13,66,0.165,203,0.389,7,0.403,8.9
431,204021,Sim Bhullar,1610612758,SAC,3,1,2,3.0,0,0,0,0.0,1,0.0,0,0.0,0.0,1,0,1,0.0,1,1.0,0,1.0,5.6,1,0,1,0.0,2,0.5,0,0.5,5.6
432,203524,Solomon Hill,1610612754,IND,82,38,44,2381.0,70,44,26,0.629,242,0.289,13,0.306,8.3,244,59,181,0.242,453,0.539,36,0.585,7.7,314,103,207,0.328,695,0.452,49,0.486,7.8
433,203915,Spencer Dinwiddie,1610612765,DET,34,12,22,455.0,4,3,1,0.75,28,0.143,0,0.143,10.2,44,6,38,0.136,71,0.62,4,0.657,10.0,48,9,39,0.188,99,0.485,4,0.505,10.0
434,201150,Spencer Hawes,1610612746,LAC,73,52,21,1274.0,30,20,11,0.667,113,0.265,2,0.27,7.1,228,82,146,0.36,443,0.515,50,0.58,4.7,258,102,157,0.395,556,0.464,52,0.512,5.0
435,201939,Stephen Curry,1610612744,GSW,80,67,13,2613.0,56,22,36,0.393,269,0.208,9,0.215,11.9,285,57,230,0.2,567,0.503,33,0.534,9.4,341,79,266,0.232,836,0.408,42,0.429,9.8
436,2581,Steve Blake,1610612757,POR,81,51,30,1529.0,16,5,11,0.313,57,0.281,0,0.281,17.0,121,10,112,0.083,285,0.425,28,0.471,10.5,137,15,123,0.109,342,0.401,28,0.436,11.2
437,200779,Steve Novak,1610612760,OKC,35,12,23,197.0,2,0,2,0.0,7,0.286,0,0.286,22.4,20,5,14,0.25,44,0.455,4,0.5,5.9,22,5,16,0.227,51,0.431,4,0.468,7.5
438,203500,Steven Adams,1610612760,OKC,70,37,33,1771.0,199,146,47,0.734,495,0.402,15,0.415,5.2,324,120,200,0.37,551,0.588,47,0.643,4.2,523,266,247,0.509,1046,0.5,62,0.532,4.6
439,203933,T.J. Warren,1610612756,PHX,40,17,23,614.0,41,26,15,0.634,103,0.398,2,0.406,6.7,44,15,29,0.341,96,0.458,3,0.473,7.2,85,41,44,0.482,199,0.427,5,0.438,7.0
440,201959,Taj Gibson,1610612741,CHI,62,38,24,1692.0,162,122,36,0.753,377,0.43,16,0.449,5.5,234,88,143,0.376,461,0.508,44,0.561,6.0,396,210,179,0.53,838,0.473,60,0.509,5.8
441,204028,Tarik Black,1610612747,LAL,62,24,38,1178.0,138,89,47,0.645,292,0.473,3,0.478,5.7,224,87,136,0.388,405,0.553,39,0.612,4.8,362,176,183,0.486,697,0.519,42,0.553,5.1
442,2419,Tayshaun Prince,1610612765,DET,58,27,31,1397.0,52,25,27,0.481,124,0.419,5,0.437,8.9,158,49,105,0.31,261,0.605,23,0.664,7.1,210,74,132,0.352,385,0.545,28,0.588,7.6
443,203093,Terrence Jones,1610612745,HOU,33,24,9,889.0,78,53,21,0.679,167,0.467,4,0.479,6.1,142,50,90,0.352,267,0.532,16,0.566,5.9,220,103,111,0.468,434,0.507,20,0.531,5.9
444,203082,Terrence Ross,1610612761,TOR,82,49,33,2092.0,32,6,26,0.188,94,0.34,5,0.36,17.7,194,43,149,0.222,360,0.539,18,0.567,7.0,226,49,175,0.217,454,0.498,23,0.524,8.5
445,200757,Thabo Sefolosha,1610612737,ATL,52,43,9,976.0,53,25,28,0.472,134,0.396,5,0.411,10.0,170,30,138,0.176,247,0.688,23,0.759,6.9,223,55,166,0.247,381,0.585,28,0.632,7.6
446,201152,Thaddeus Young,1610612751,BKN,75,25,50,2407.0,126,82,41,0.651,337,0.374,13,0.389,8.0,282,87,197,0.309,536,0.526,35,0.563,7.2,408,169,238,0.414,873,0.467,48,0.495,7.4
447,203080,Thomas Robinson,1610612755,PHI,54,26,28,798.0,95,69,28,0.726,257,0.37,10,0.385,5.6,208,94,114,0.452,313,0.665,24,0.72,4.8,303,163,142,0.538,570,0.532,34,0.565,5.1
448,201168,Tiago Splitter,1610612759,SAS,52,34,18,1030.0,91,64,24,0.703,210,0.433,5,0.444,5.2,161,68,94,0.422,300,0.537,35,0.608,4.8,252,132,118,0.524,510,0.494,40,0.536,4.9
449,1495,Tim Duncan,1610612759,SAS,77,53,24,2227.0,170,110,56,0.647,389,0.437,17,0.457,7.0,534,234,292,0.438,884,0.604,69,0.655,4.2,704,344,348,0.489,1273,0.553,86,0.593,4.9
450,204025,Tim Frazier,1610612757,POR,11,3,8,239.0,6,1,5,0.167,27,0.222,0,0.222,12.6,22,6,16,0.273,57,0.386,13,0.5,7.1,28,7,21,0.25,84,0.333,13,0.394,8.3
451,203501,Tim Hardaway Jr.,1610612752,NYK,69,16,53,1656.0,12,5,7,0.417,95,0.126,3,0.13,15.6,140,38,104,0.271,254,0.551,15,0.586,9.4,152,43,111,0.283,349,0.436,18,0.459,9.9
452,202389,Timofey Mozgov,1610612739,CLE,81,49,32,2046.0,203,133,65,0.655,500,0.406,14,0.418,5.5,388,192,195,0.495,716,0.542,69,0.6,4.0,591,325,260,0.55,1216,0.486,83,0.522,4.5
453,202699,Tobias Harris,1610612753,ORL,68,20,48,2369.0,73,42,28,0.575,231,0.316,6,0.324,8.7,357,91,266,0.255,523,0.683,33,0.729,6.1,430,133,294,0.309,754,0.57,39,0.601,6.5
454,201962,Toney Douglas,1610612740,NOP,12,7,5,177.0,2,1,1,0.5,13,0.154,0,0.154,10.8,20,2,18,0.1,35,0.571,3,0.625,8.3,22,3,19,0.136,48,0.458,3,0.489,8.5
455,2754,Tony Allen,1610612763,MEM,63,46,17,1648.0,103,72,29,0.699,323,0.319,10,0.329,5.2,177,41,136,0.232,272,0.651,16,0.691,7.3,280,113,165,0.404,595,0.471,26,0.492,6.5
456,2225,Tony Parker,1610612759,SAS,68,48,20,1953.0,15,6,11,0.4,143,0.105,7,0.11,17.4,114,14,100,0.123,237,0.481,17,0.518,10.5,129,20,111,0.155,380,0.339,24,0.362,11.3
457,203503,Tony Snell,1610612741,CHI,72,43,29,1412.0,31,9,22,0.29,98,0.316,5,0.333,13.1,145,35,112,0.241,265,0.547,20,0.592,8.0,176,44,134,0.25,363,0.485,25,0.521,8.9
458,203100,Tony Wroten,1610612755,PHI,30,4,26,895.0,22,16,8,0.727,111,0.198,4,0.206,9.3,64,12,52,0.188,133,0.481,10,0.52,7.9,86,28,60,0.326,244,0.352,14,0.374,8.3
459,203315,Toure' Murry,1610612762,UTA,5,3,2,18.0,1,0,1,0.0,2,0.5,0,0.5,9.0,0,0,0,0.0,3,0.0,1,0.0,0.0,1,0,1,0.0,5,0.2,1,0.25,9.0
460,204037,Travis Wear,1610612752,NYK,50,7,43,651.0,30,17,13,0.567,95,0.316,5,0.333,8.2,72,16,55,0.222,160,0.45,17,0.503,6.2,102,33,68,0.324,255,0.4,22,0.438,6.8
461,2772,Trevor Ariza,1610612745,HOU,81,55,26,2896.0,76,35,36,0.461,303,0.251,15,0.264,11.8,378,90,286,0.238,617,0.613,53,0.67,5.9,454,125,322,0.275,920,0.493,68,0.533,6.8
462,202344,Trevor Booker,1610612762,UTA,79,37,42,1564.0,139,76,61,0.547,298,0.466,12,0.486,7.4,258,91,164,0.353,432,0.597,35,0.65,5.0,397,167,225,0.421,730,0.544,47,0.581,5.8
463,203504,Trey Burke,1610612762,UTA,76,35,41,2288.0,31,6,29,0.194,143,0.217,5,0.225,15.0,173,22,155,0.127,338,0.512,21,0.546,11.2,204,28,184,0.137,481,0.424,26,0.448,12.0
464,202684,Tristan Thompson,1610612739,CLE,81,53,28,2168.0,270,203,58,0.752,673,0.401,22,0.415,4.8,378,134,243,0.354,665,0.568,54,0.619,5.0,648,337,301,0.52,1338,0.484,76,0.513,4.9
465,203584,Troy Daniels,1610612766,CHA,46,14,32,392.0,8,3,5,0.375,28,0.286,1,0.296,12.0,25,5,22,0.2,61,0.41,10,0.49,5.9,33,8,27,0.242,89,0.371,11,0.423,7.3
466,201951,Ty Lawson,1610612743,DEN,75,29,46,2665.0,42,7,35,0.167,184,0.228,11,0.243,18.8,192,24,171,0.125,341,0.563,22,0.602,11.4,234,31,206,0.132,525,0.446,33,0.476,12.7
467,203898,Tyler Ennis,1610612749,MIL,33,11,22,411.0,7,3,4,0.429,21,0.333,0,0.333,7.6,28,6,23,0.214,58,0.483,5,0.528,7.4,35,9,27,0.257,79,0.443,5,0.473,7.4
468,201946,Tyler Hansbrough,1610612761,TOR,74,45,29,1058.0,106,78,26,0.736,240,0.442,10,0.461,5.7,159,64,93,0.403,291,0.546,14,0.574,5.5,265,142,119,0.536,531,0.499,24,0.523,5.6
469,204020,Tyler Johnson,1610612748,MIA,32,15,17,603.0,14,12,2,0.857,61,0.23,2,0.237,7.1,67,19,48,0.284,130,0.515,9,0.554,9.2,81,31,50,0.383,191,0.424,11,0.45,8.8
470,203092,Tyler Zeller,1610612738,BOS,82,40,42,1731.0,146,103,43,0.705,400,0.365,11,0.375,5.6,319,146,174,0.458,596,0.535,58,0.593,5.1,465,249,217,0.535,996,0.467,69,0.502,5.3
471,201936,Tyreke Evans,1610612740,NOP,79,43,36,2690.0,82,51,29,0.622,340,0.241,15,0.252,8.8,334,67,266,0.201,562,0.594,40,0.64,7.3,416,118,295,0.284,902,0.461,55,0.491,7.6
472,200748,Tyrus Thomas,1610612763,MEM,2,2,0,7.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0
473,2199,Tyson Chandler,1610612742,DAL,75,47,28,2286.0,294,211,76,0.718,549,0.536,9,0.544,5.3,570,216,345,0.379,957,0.596,71,0.643,4.2,864,427,421,0.494,1506,0.574,80,0.606,4.6
474,2617,Udonis Haslem,1610612748,MIA,61,30,31,982.0,70,47,25,0.671,203,0.345,6,0.355,6.4,184,73,110,0.397,336,0.548,33,0.607,4.5,254,120,135,0.472,539,0.471,39,0.508,5.0
475,203505,Vander Blue,1610612747,LAL,2,0,2,74.0,2,0,2,0.0,7,0.286,0,0.286,3.3,7,1,6,0.143,13,0.538,0,0.538,9.2,9,1,8,0.111,20,0.45,0,0.45,7.9
476,201964,Victor Claver,1610612757,POR,10,6,4,76.0,3,3,0,1.0,4,0.75,0,0.75,5.6,17,13,4,0.765,26,0.654,2,0.708,5.2,20,16,4,0.8,30,0.667,2,0.714,5.2
477,203506,Victor Oladipo,1610612753,ORL,72,22,50,2573.0,51,24,27,0.471,257,0.198,19,0.214,9.7,251,62,188,0.247,480,0.523,40,0.57,7.4,302,86,215,0.285,737,0.41,59,0.445,7.8
478,1713,Vince Carter,1610612763,MEM,66,45,21,1091.0,27,17,10,0.63,91,0.297,2,0.303,7.7,106,28,77,0.264,220,0.482,26,0.546,6.9,133,45,87,0.338,311,0.428,28,0.47,7.0
479,201961,Wayne Ellington,1610612747,LAL,65,18,47,1675.0,31,11,19,0.355,121,0.256,1,0.258,14.6,179,30,149,0.168,296,0.605,22,0.653,8.2,210,41,168,0.195,417,0.504,23,0.533,9.2
480,202325,Wesley Johnson,1610612747,LAL,76,20,56,2245.0,67,30,35,0.448,211,0.318,6,0.327,9.8,252,53,192,0.21,419,0.601,35,0.656,6.8,319,83,227,0.26,630,0.506,41,0.542,7.5
481,202083,Wesley Matthews,1610612757,POR,60,41,19,2024.0,38,13,25,0.342,126,0.302,5,0.314,14.1,184,38,147,0.207,356,0.517,37,0.577,7.5,222,51,172,0.23,482,0.461,42,0.505,8.6
482,203115,Will Barton,1610612743,DEN,58,30,28,984.0,26,14,12,0.538,108,0.241,1,0.243,13.1,136,22,114,0.162,224,0.607,20,0.667,5.8,162,36,126,0.222,332,0.488,21,0.521,7.0
483,101198,Will Bynum,1610612764,WAS,7,4,3,67.0,2,0,2,0.0,5,0.4,1,0.5,19.8,4,0,4,0.0,7,0.571,0,0.571,8.4,6,0,6,0.0,12,0.5,1,0.545,12.2
484,203805,Will Cherry,1610612761,TOR,8,6,2,69.0,1,1,0,1.0,5,0.2,0,0.2,3.8,4,1,3,0.25,13,0.308,1,0.333,10.8,5,2,3,0.4,18,0.278,1,0.294,9.4
485,2584,Willie Green,1610612753,ORL,52,15,37,951.0,14,6,7,0.429,53,0.264,4,0.286,13.3,65,14,51,0.215,137,0.474,15,0.533,9.0,79,20,58,0.253,190,0.416,19,0.462,9.7
486,201163,Wilson Chandler,1610612743,DEN,78,28,50,2471.0,96,65,24,0.677,287,0.334,4,0.339,6.2,379,105,274,0.277,629,0.603,54,0.659,5.3,475,170,298,0.358,916,0.519,58,0.554,5.5
487,202333,Xavier Henry,1610612747,LAL,9,1,8,86.0,2,0,2,0.0,7,0.286,0,0.286,14.7,2,0,2,0.0,11,0.182,3,0.25,3.1,4,0,4,0.0,18,0.222,3,0.267,8.9
488,203897,Zach LaVine,1610612750,MIN,76,15,61,1867.0,27,10,19,0.37,126,0.214,4,0.221,11.5,184,32,150,0.174,336,0.548,26,0.594,7.5,211,42,169,0.199,462,0.457,30,0.488,8.1
489,2216,Zach Randolph,1610612763,MEM,71,51,20,2304.0,225,190,28,0.844,552,0.408,12,0.417,4.3,522,169,349,0.324,818,0.638,58,0.687,4.7,747,359,377,0.481,1370,0.545,70,0.575,4.5
490,2585,Zaza Pachulia,1610612749,MIL,72,33,39,1702.0,190,131,53,0.689,431,0.441,19,0.461,5.6,296,122,172,0.412,527,0.562,60,0.634,4.5,486,253,225,0.521,958,0.507,79,0.553,4.9
491,204054,Zoran Dragic,1610612748,MIA,16,6,10,75.0,5,2,3,0.4,15,0.333,1,0.357,13.5,3,1,2,0.333,8,0.375,2,0.5,7.7,8,3,5,0.375,23,0.348,3,0.4,11.4
